o_node,d_node,origin,destination,travel_time,iteration,edge_type
1396-0-4-58,1388-0-99-99,1396,1388,89.0,0,Streetcar Route
1538-0-4-58,1388-0-99-99,1538,1388,165.0,0,Streetcar Route
1445-0-4-58,1391-0-99-99,1445,1391,68.0,0,Streetcar Route
1265-0-4-58,1393-0-99-99,1265,1393,122.0,0,Streetcar Route
1531-0-4-58,1393-0-99-99,1531,1393,142.0,0,Streetcar Route
1173-0-4-58,1394-0-99-99,1173,1394,90.0,0,Streetcar Route
1401-0-4-58,1395-0-99-99,1401,1395,38.0,0,Streetcar Route
1140-0-4-58,1402-0-99-99,1140,1402,93.0,0,Streetcar Route
1173-0-4-58,1402-0-99-99,1173,1402,105.0,0,Streetcar Route
1400-0-4-58,1402-0-99-99,1400,1402,55.0,0,Streetcar Route
1415-0-4-58,1402-0-99-99,1415,1402,81.0,0,Streetcar Route
1423-0-4-58,1411-0-99-99,1423,1411,87.0,0,Streetcar Route
1407-0-4-58,1415-0-99-99,1407,1415,48.0,0,Streetcar Route
1606-0-4-58,1415-0-99-99,1606,1415,136.0,0,Streetcar Route
1381-0-4-58,1421-0-99-99,1381,1421,115.0,0,Streetcar Route
1041-0-4-58,1423-0-99-99,1041,1423,80.0,0,Streetcar Route
1062-0-4-58,1442-0-99-99,1062,1442,94.0,0,Streetcar Route
1482-0-4-58,1472-0-99-99,1482,1472,89.0,0,Streetcar Route
1538-0-4-58,1476-0-99-99,1538,1476,111.0,0,Streetcar Route
1583-0-4-58,1481-0-99-99,1583,1481,84.0,0,Streetcar Route
1524-0-4-58,1486-0-99-99,1524,1486,79.0,0,Streetcar Route
1531-0-4-58,1490-0-99-99,1531,1490,79.0,0,Streetcar Route
1366-0-4-58,1492-0-99-99,1366,1492,128.0,0,Streetcar Route
1579-0-4-58,1492-0-99-99,1579,1492,38.0,0,Streetcar Route
1513-0-4-58,1503-0-99-99,1513,1503,51.0,0,Streetcar Route
1021-0-4-58,1519-0-99-99,1021,1519,90.0,0,Streetcar Route
1495-0-4-58,1529-0-99-99,1495,1529,84.0,0,Streetcar Route
1428-0-4-58,1530-0-99-99,1428,1530,110.0,0,Streetcar Route
1443-0-4-58,1530-0-99-99,1443,1530,106.0,0,Streetcar Route
1577-0-4-58,1536-0-99-99,1577,1536,125.0,0,Streetcar Route
1569-0-4-58,1543-0-99-99,1569,1543,92.0,0,Streetcar Route
1182-0-4-58,1544-0-99-99,1182,1544,118.0,0,Streetcar Route
1021-0-4-58,1545-0-99-99,1021,1545,87.0,0,Streetcar Route
1515-0-4-58,1561-0-99-99,1515,1561,42.0,0,Streetcar Route
1245-0-4-58,1582-0-99-99,1245,1582,105.0,0,Streetcar Route
1154-0-4-58,1599-0-99-99,1154,1599,132.0,0,Streetcar Route
1562-0-4-58,1607-0-99-99,1562,1607,76.0,0,Streetcar Route
1436-0-4-58,1081-0-99-99,1436,1081,108.0,0,Streetcar Route
1506-0-4-58,1002-0-99-99,1506,1002,99.0,1,Streetcar Route
1126-0-4-58,1006-0-99-99,1126,1006,81.0,1,Streetcar Route
