o_node,d_node,origin,destination,travel_time,iteration
1539-0-4-30,1057-0-99-99,1539,1057,56.0,2
1601-0-4-30,1057-0-99-99,1601,1057,130.0,2
1122-0-4-30,1058-0-99-99,1122,1058,60.0,2
1270-0-4-30,1058-0-99-99,1270,1058,57.0,2
1450-0-4-30,1058-0-99-99,1450,1058,125.0,2
1411-0-4-30,1059-0-99-99,1411,1059,116.0,2
1090-0-4-30,1060-0-99-99,1090,1060,34.0,2
1484-0-4-30,1062-0-99-99,1484,1062,135.0,2
1544-0-4-30,1063-0-99-99,1544,1063,100.0,2
1621-0-4-30,1063-0-99-99,1621,1063,144.0,2
1110-0-4-30,1065-0-99-99,1110,1065,27.0,2
1122-0-4-30,1065-0-99-99,1122,1065,51.0,2
1202-0-4-30,1065-0-99-99,1202,1065,110.0,2
1424-0-4-30,1065-0-99-99,1424,1065,89.0,2
1572-0-4-30,1065-0-99-99,1572,1065,181.0,2
1122-0-4-30,1066-0-99-99,1122,1066,51.0,2
1263-0-4-30,1067-0-99-99,1263,1067,67.0,2
1120-0-4-30,1068-0-99-99,1120,1068,57.0,2
1330-0-4-30,1068-0-99-99,1330,1068,88.0,2
1602-0-4-30,1068-0-99-99,1602,1068,136.0,2
1606-0-4-30,1068-0-99-99,1606,1068,124.0,2
1483-0-4-30,1070-0-99-99,1483,1070,121.0,2
1510-0-4-30,1076-0-99-99,1510,1076,129.0,2
1600-0-4-30,1076-0-99-99,1600,1076,147.0,2
1039-0-4-30,1078-0-99-99,1039,1078,42.0,2
1524-0-4-30,1078-0-99-99,1524,1078,125.0,2
1562-0-4-30,1078-0-99-99,1562,1078,188.0,2
1365-0-4-30,1080-0-99-99,1365,1080,107.0,2
1143-0-4-30,1085-0-99-99,1143,1085,65.0,2
1513-0-4-30,1090-0-99-99,1513,1090,148.0,2
1132-0-4-30,1104-0-99-99,1132,1104,51.0,2
1389-0-4-30,1113-0-99-99,1389,1113,101.0,2
1286-0-4-30,1114-0-99-99,1286,1114,49.0,2
1022-0-4-30,1116-0-99-99,1022,1116,37.0,2
1400-0-4-30,1118-0-99-99,1400,1118,97.0,2
1116-0-4-30,1124-0-99-99,1116,1124,34.0,2
1412-0-4-30,1139-0-99-99,1412,1139,120.0,2
1524-0-4-30,1141-0-99-99,1524,1141,140.0,2
1046-0-4-30,1142-0-99-99,1046,1142,78.0,2
1130-0-4-30,1145-0-99-99,1130,1145,35.0,2
1153-0-4-30,1146-0-99-99,1153,1146,90.0,2
1382-0-4-30,1150-0-99-99,1382,1150,114.0,2
1133-0-4-30,1156-0-99-99,1133,1156,61.0,2
1572-0-4-30,1157-0-99-99,1572,1157,196.0,2
1544-0-4-30,1160-0-99-99,1544,1160,121.0,2
1176-0-4-30,1168-0-99-99,1176,1168,32.0,2
1212-0-4-30,1170-0-99-99,1212,1170,125.0,2
1588-0-4-30,1180-0-99-99,1588,1180,132.0,2
1595-0-4-30,1187-0-99-99,1595,1187,126.0,2
