o_node,d_node,origin,destination,travel_time,iteration
1619-0-4-48,1056-0-99-99,1619,1056,156.0,1
1200-0-4-48,1057-0-99-99,1200,1057,97.0,1
1277-0-4-48,1057-0-99-99,1277,1057,77.0,1
1539-0-4-48,1057-0-99-99,1539,1057,77.0,1
1601-0-4-48,1057-0-99-99,1601,1057,125.0,1
1122-0-4-48,1058-0-99-99,1122,1058,92.0,1
1270-0-4-48,1058-0-99-99,1270,1058,41.0,1
1450-0-4-48,1058-0-99-99,1450,1058,107.0,1
1411-0-4-48,1059-0-99-99,1411,1059,131.0,1
1090-0-4-48,1060-0-99-99,1090,1060,38.0,1
1484-0-4-48,1062-0-99-99,1484,1062,122.0,1
1544-0-4-48,1063-0-99-99,1544,1063,111.0,1
1621-0-4-48,1063-0-99-99,1621,1063,162.0,1
1110-0-4-48,1065-0-99-99,1110,1065,33.0,1
1122-0-4-48,1065-0-99-99,1122,1065,92.0,1
1202-0-4-48,1065-0-99-99,1202,1065,97.0,1
1424-0-4-48,1065-0-99-99,1424,1065,107.0,1
1572-0-4-48,1065-0-99-99,1572,1065,163.0,1
1122-0-4-48,1066-0-99-99,1122,1066,90.0,1
1263-0-4-48,1067-0-99-99,1263,1067,67.0,1
1120-0-4-48,1068-0-99-99,1120,1068,70.0,1
1330-0-4-48,1068-0-99-99,1330,1068,95.0,1
1602-0-4-48,1068-0-99-99,1602,1068,126.0,1
1606-0-4-48,1068-0-99-99,1606,1068,126.0,1
1483-0-4-48,1070-0-99-99,1483,1070,120.0,1
1510-0-4-48,1076-0-99-99,1510,1076,129.0,1
1600-0-4-48,1076-0-99-99,1600,1076,135.0,1
1039-0-4-48,1078-0-99-99,1039,1078,36.0,1
1524-0-4-48,1078-0-99-99,1524,1078,128.0,1
1562-0-4-48,1078-0-99-99,1562,1078,170.0,1
1365-0-4-48,1080-0-99-99,1365,1080,142.0,1
1143-0-4-48,1085-0-99-99,1143,1085,103.0,1
1513-0-4-48,1090-0-99-99,1513,1090,130.0,1
1132-0-4-48,1104-0-99-99,1132,1104,63.0,1
1389-0-4-48,1113-0-99-99,1389,1113,127.0,1
1286-0-4-48,1114-0-99-99,1286,1114,61.0,1
1022-0-4-48,1116-0-99-99,1022,1116,41.0,1
1400-0-4-48,1118-0-99-99,1400,1118,120.0,1
1116-0-4-48,1124-0-99-99,1116,1124,26.0,1
1412-0-4-48,1139-0-99-99,1412,1139,102.0,1
1524-0-4-48,1141-0-99-99,1524,1141,139.0,1
1046-0-4-48,1142-0-99-99,1046,1142,90.0,1
1130-0-4-48,1145-0-99-99,1130,1145,35.0,1
1153-0-4-48,1146-0-99-99,1153,1146,87.0,1
1382-0-4-48,1150-0-99-99,1382,1150,97.0,1
1133-0-4-48,1156-0-99-99,1133,1156,43.0,1
1572-0-4-48,1157-0-99-99,1572,1157,178.0,1
1544-0-4-48,1160-0-99-99,1544,1160,128.0,1
1176-0-4-48,1168-0-99-99,1176,1168,47.0,1
1212-0-4-48,1170-0-99-99,1212,1170,107.0,1
1588-0-4-48,1180-0-99-99,1588,1180,128.0,1
1595-0-4-48,1187-0-99-99,1595,1187,137.0,1
1186-0-4-48,1202-0-99-99,1186,1202,30.0,1
1223-0-4-48,1203-0-99-99,1223,1203,103.0,1
1139-0-4-48,1211-0-99-99,1139,1211,77.0,1
1166-0-4-48,1218-0-99-99,1166,1218,111.0,1
1523-0-4-48,1218-0-99-99,1523,1218,91.0,1
1554-0-4-48,1218-0-99-99,1554,1218,146.0,1
1620-0-4-48,1220-0-99-99,1620,1220,149.0,1
1197-0-4-48,1227-0-99-99,1197,1227,33.0,1
1233-0-4-48,1227-0-99-99,1233,1227,111.0,1
1560-0-4-48,1243-0-99-99,1560,1243,73.0,1
1575-0-4-48,1243-0-99-99,1575,1243,140.0,1
1224-0-4-48,1247-0-99-99,1224,1247,93.0,1
1251-0-4-48,1247-0-99-99,1251,1247,54.0,1
1524-0-4-48,1253-0-99-99,1524,1253,104.0,1
1383-0-4-48,1260-0-99-99,1383,1260,154.0,1
1110-0-4-48,1272-0-99-99,1110,1272,54.0,1
1250-0-4-48,1275-0-99-99,1250,1275,29.0,1
1144-0-4-48,1277-0-99-99,1144,1277,98.0,1
1347-0-4-48,1285-0-99-99,1347,1285,120.0,1
1431-0-4-48,1285-0-99-99,1431,1285,147.0,1
1544-0-4-48,1298-0-99-99,1544,1298,154.0,1
1131-0-4-48,1299-0-99-99,1131,1299,134.0,1
1271-0-4-48,1307-0-99-99,1271,1307,84.0,1
1290-0-4-48,1307-0-99-99,1290,1307,88.0,1
1353-0-4-48,1307-0-99-99,1353,1307,112.0,1
1458-0-4-48,1313-0-99-99,1458,1313,145.0,1
1124-0-4-48,1317-0-99-99,1124,1317,33.0,1
1326-0-4-48,1317-0-99-99,1326,1317,73.0,1
1133-0-4-48,1331-0-99-99,1133,1331,114.0,1
1177-0-4-48,1355-0-99-99,1177,1355,110.0,1
1110-0-4-48,1356-0-99-99,1110,1356,118.0,1
1039-0-4-48,1357-0-99-99,1039,1357,113.0,1
1385-0-4-48,1358-0-99-99,1385,1358,96.0,1
1021-0-4-48,1361-0-99-99,1021,1361,119.0,1
1062-0-4-48,1371-0-99-99,1062,1371,134.0,1
1173-0-4-48,1378-0-99-99,1173,1378,128.0,1
1232-0-4-48,1378-0-99-99,1232,1378,162.0,1
1342-0-4-48,1378-0-99-99,1342,1378,117.0,1
1351-0-4-48,1379-0-99-99,1351,1379,111.0,1
1021-0-4-48,1386-0-99-99,1021,1386,127.0,1
1249-0-4-48,1388-0-99-99,1249,1388,155.0,1
1396-0-4-48,1388-0-99-99,1396,1388,99.0,1
1538-0-4-48,1388-0-99-99,1538,1388,155.0,1
1445-0-4-48,1391-0-99-99,1445,1391,48.0,1
