INT_ID,string
13455730,Wilson Ave / Wendell Ave
13469497,Islington Ave / Athol Ave / Nordin Ave
13469672,Islington Ave / The Queensway
13458127,Belfield Rd / Mcculloch Ave
13457727,Martin Grove Rd / Vulcan St
13457328,Martin Grove Rd / Bethridge Rd
13457922,Etobicoke N Go Sta / Belfield Rd
13458112,Kipling Ave / Kipling N 409 E Ramp / Ronson Dr / Greensboro Dr
13457759,Kipling Ave / Belfield Rd
13457060,Kipling Ave / Bethridge Rd
13458256,Islington Ave / St Andrews Blvd
13457990,Islington Ave / St Georges Blvd
13457805,Islington Ave / Lemsford Rd / Westhampton Dr
13458506,Islington Ave / Kingsview Blvd / Sweet Pea Path
13457696,Islington Ave / Monogram Pl
13470586,Lake Shore Blvd W / Twenty Seventh St
13470566,Lake Shore Blvd W / Twenty Second St
13470214,Lake Shore Blvd W / Miles Rd
13456702,Rexdale Blvd / Brydon Dr
13456668,Rexdale Blvd / Kipling Ave
13456555,Rexdale Blvd / Frost St
13455971,Kipling Ave / Racine Rd
13455516,Kipling Ave / Redcliff Blvd
13457412,Islington Ave / Resources Rd / Islington N 401 C E Ramp
13457178,Islington Ave / Resources Rd / Islington S 401 C E Ramp / 401 C E Islington S Ramp
13456371,Rexdale Blvd / Bergamot Ave
20112512,Colonel Samuel Smith Park Dr
20112511,Colonel Samuel Smith Park Dr
13470536,Kipling Ave / Lake Shore Blvd W / Colonel Samuel Smith Park Dr
13469774,The Queensway / Culnan Ave
13469751,The Queensway / Brawley Ave
13461907,Kipling Ave / Clement Rd / Hunting Ridge
13461514,Kipling Ave / Gracey Blvd
13461321,Brampton Rd / The Westway
13461199,Celestine Dr / The Westway
13461140,Kipling Ave / The Westway
13456671,Islington Ave / 401 C W Islington N Ramp
13456080,Islington Ave
13455765,Islington Ave / Bergamot Ave
13455529,Islington Ave / Leduc Dr
13469883,Ourland Ave / Evans Ave
13469579,Islington Ave / Inverness Ave
13469627,The Queensway / Lady Bank Rd / Canmotor Ave
