INT_ID,int_lon,int_lat
13457863,-79.419108562,43.702351726
13464592,-79.458777591,43.66448603
13468605,-79.469914649,43.637210589
13464461,-79.482105747,43.665579272
13464438,-79.464557781,43.665404354
13445882,-79.407105781,43.781625546
13464218,-79.491767788,43.667184902
13469783,-79.500396929,43.621012253
13458084,-79.425561957,43.700992517
13459036,-79.450278981,43.695691999
13443870,-79.420084,43.79799966
13443242,-79.39623006,43.803270124
13461228,-79.498823083,43.684476407
13466116,-79.42270507,43.654400252
13461619,-79.467675092,43.681895353
13452017,-79.42164712,43.739871726
13456031,-79.454751125,43.7140869
13455135,-79.429816144,43.719258979
13457799,-79.41737923,43.702719518
13442747,-79.372508245,43.808507954
13457395,-79.426372247,43.705191909
13446584,-79.430255343,43.776493999
13461587,-79.471598344,43.682136194
13452437,-79.434005363,43.737354505
13461263,-79.504218431,43.68438156
13456244,-79.428147428,43.712331421
13469914,-79.511328449,43.618393334
13445250,-79.417350458,43.787068778
13458706,-79.442793468,43.697302209
13456468,-79.466603511,43.711482476
13457330,-79.487667633,43.706374382
13449607,-79.438481647,43.755458418
13460119,-79.475062683,43.690165352
13460757,-79.489532718,43.686993544
13446031,-79.444834718,43.781038641
13461680,-79.526607837,43.682334604
13458238,-79.503247905,43.700848086
13454748,-79.418500552,43.721663668
13456692,-79.471909067,43.710302504
13444801,-79.445381108,43.790827588
13459968,-79.500891132,43.69130158
13444609,-79.445755162,43.792407463
13456952,-79.478062181,43.708659308
13470006,-79.524628244,43.615873728
13470147,-79.543806274,43.611829061
13458367,-79.516201345,43.700158196
13455040,-79.508634418,43.720915422
13457965,-79.503838437,43.702878069
13450069,-79.451918583,43.752688371
13446970,-79.443008603,43.773859221
13470610,-79.529768629,43.595323994
13445306,-79.470089677,43.787283202
13459022,-79.546731704,43.697049452
13468751,-79.556709719,43.636929624
13470438,-79.545254731,43.601690365
13447779,-79.466927821,43.768852099
13453125,-79.483728834,43.733580707
13459156,-79.532738941,43.696161356
13455580,-79.523046351,43.717703384
13446042,-79.494506362,43.78157907
13446837,-79.468468434,43.775193859
13451388,-79.486452433,43.744777513
13465273,-79.393484529,43.659199934
13449857,-79.488762507,43.754512472
13449373,-79.513445543,43.758059041
13449500,-79.517731819,43.75723482
13453198,-79.538228852,43.733746804
13452283,-79.513221028,43.739389324
13452693,-79.523799047,43.736965031
13449708,-79.524287102,43.755928554
13459576,-79.558649126,43.694249638
13451305,-79.568621085,43.746247698
13448840,-79.518822132,43.761917513
13453059,-79.533955235,43.734670836
13454154,-79.574660323,43.728139703
13446896,-79.521735457,43.775470748
13450142,-79.536263468,43.753290347
13450342,-79.542380573,43.752089994
13460801,-79.586823017,43.687948264
13451819,-79.582116042,43.743263602
13461025,-79.595566224,43.686757331
13452977,-79.594956231,43.736017084
13452853,-79.591703289,43.736772982
13453882,-79.601443401,43.730468485
13452733,-79.565305566,43.737236726
13452171,-79.589232607,43.741093842
13452047,-79.594210705,43.74192483
13454453,-79.586722725,43.726024454
13448601,-79.574871956,43.764343482
13453590,-79.609154244,43.732189583
13449294,-79.58991126,43.759607633
13469987,-79.521062666,43.61649514
13450421,-79.599302428,43.752300188
13444174,-79.166727624,43.791739697
13448501,-79.404758171,43.762888736
