trip_headsign_x,trip_headsign_y,delta,direction_id_x,route_short_name,shape_id_x,dist_x,direction_id_y,shape_id_y,dist_y
SOUTH - 43 KENNEDY TOWARDS KENNEDY STATION,NORTH - 43A KENNEDY TOWARDS STEELES,80.13,0,43,602125,12183.69124,1,602132,12263.82089
SOUTH - 43 KENNEDY TOWARDS KENNEDY STATION,NORTH - 43A KENNEDY TOWARDS STEELES,198.48,0,43,602130,1442.478021,1,602134,1640.958115
SOUTH - 44S KIPLING SOUTH TOWARDS EVANS,NORTH - 44 KIPLING SOUTH TOWARDS KIPLING STATION,205.66,0,44,602137,3221.829027,1,602140,3427.490031
SOUTH - 44 KIPLING SOUTH TOWARDS LAKE SHORE ,NORTH - 44 KIPLING SOUTH TOWARDS KIPLING STATION,316.87,0,44,602135,5831.18868,1,602138,6148.05604
SOUTH - 45 KIPLING TOWARDS KIPLING STATION,NORTH - 45B KIPLING TOWARDS CARLINGVIEW VIA BELFIELD ,154.15,0,45,602142,14752.57005,1,602149,14598.41811
SOUTH - 45E KIPLING EXPRESS TOWARDS KIPLING STATION,NORTH - 45B KIPLING TOWARDS CARLINGVIEW VIA BELFIELD ,154.15,0,45,602146,14752.57005,1,602150,14598.41811
SOUTH - 45 KIPLING TOWARDS KIPLING STATION,NORTH - 45B KIPLING TOWARDS CARLINGVIEW VIA BELFIELD ,154.15,0,45,602141,14752.57005,1,602149,14598.41811
SOUTH - 45 KIPLING TOWARDS KIPLING STATION,NORTH - 45B KIPLING TOWARDS CARLINGVIEW VIA BELFIELD ,2931.86,0,45,602144,11666.56093,1,602150,14598.41811
SOUTH - 46 MARTIN GROVE TOWARDS KIPLING STATION,NORTH - 46 MARTIN GROVE TOWARDS STEELES,712.12,0,46,602156,16210.90472,1,602159,16923.02843
SOUTH - 46 MARTIN GROVE TOWARDS KIPLING STATION,NORTH - 46 MARTIN GROVE TOWARDS STEELES,712.12,0,46,602155,16210.90472,1,602159,16923.02843
SOUTH - 47C LANSDOWNE TOWARDS QUEEN VIA ORFUS AND CALEDONIA,NORTH - 47B LANSDOWNE TOWARDS YORKDALE STATION VIA CALEDONIA AND BRIDGELAND ,449.59,0,47,602166,12749.75756,1,602168,12300.163
SOUTH - 47B LANSDOWNE TOWARDS QUEEN,NORTH - 47A LANSDOWNE TOWARDS ST CLAIR,1014.53,0,47,602162,5418.897352,1,602167,4404.367414
SOUTH - 47B LANSDOWNE TOWARDS QUEEN VIA BRIDGELAND AND CALEDONIA,NORTH - 47B LANSDOWNE TOWARDS YORKDALE STATION VIA CALEDONIA AND BRIDGELAND ,1163.44,0,47,602164,13463.59909,1,602168,12300.163
EAST - 48 RATHBURN TOWARDS ROYAL YORK STATION,WEST - 48 RATHBURN TOWARDS MILL RD,83.80,0,48,602170,8799.2308,1,602174,8883.034262
EAST - 49 BLOOR WEST TOWARDS KIPLING STATION,WEST - 49 BLOOR TOWARDS MARKLAND WOOD ,809.98,0,49,602178,5283.902902,1,602180,4473.91966
EAST - 49 BLOOR TOWARDS MARKLAND WOOD ,WEST - 49 BLOOR TOWARDS MARKLAND WOOD ,2931.34,0,49,602179,1542.576735,1,602180,4473.91966
EAST - 50 BURNHAMTHORPE TOWARDS ISLINGTON STATION,WEST - 50 BURNHAMTHORPE TOWARDS MILL ROAD,132.79,0,50,602186,5762.226205,1,602188,5895.017489
SOUTH - 51 LESLIE TOWARDS EGLINTON STATION,NORTH - 51 LESLIE TOWARDS STEELES,86.35,0,51,602327,17505.16407,1,602328,17591.51817
EAST - 52 LAWRENCE WEST TOWARDS LAWRENCE STATION,WEST - 52F LAWRENCE WEST TOWARDS ROYAL YORK,0.25,0,52,602395,11792.64986,1,602410,11792.39519
