id,route,stop_sequence_new,sequence,hr,min,INT_ID
160485836,354,13,14,4,10,13451645.0
160485836,354,14,15,4,10,13452045.0
160485836,354,15,16,4,11,13452186.0
160485836,354,16,17,4,13,13452266.0
160485836,354,17,18,4,13,20234111.0
160485836,354,18,19,4,15,13453783.0
160485836,354,19,20,4,15,13454407.0
160485836,354,20,22,4,18,13455720.0
160485836,354,21,23,4,19,13455899.0
160485836,354,22,24,4,20,13455990.0
160485836,354,23,25,4,20,13456085.0
160485836,354,24,26,4,21,13456160.0
160485836,354,25,27,4,21,13456221.0
160485836,354,26,28,4,22,13456348.0
160485836,354,27,29,4,23,13456522.0
160485836,354,28,31,4,25,13456902.0
160485836,354,29,32,4,25,13456978.0
160485837,339,1,1,4,0,116.0
160485876,395,1,1,4,0,13449911.0
160485876,395,2,2,4,0,13450081.0
160485876,395,3,3,4,1,13450226.0
160485876,395,4,4,4,1,13450372.0
160485876,395,5,5,4,2,13450611.0
160485876,395,6,6,4,2,13450773.0
160485876,395,7,7,4,3,13450870.0
160485876,395,8,8,4,3,13450973.0
160485876,395,9,9,4,3,13451068.0
160485876,395,10,10,4,3,13451157.0
160485880,307,1,2,4,1,13448217.0
160485880,307,2,3,4,1,13447770.0
160485880,307,3,4,4,1,13447497.0
160485880,307,4,5,4,2,13447250.0
160485880,307,5,6,4,2,13446970.0
160485880,307,6,9,4,4,13446031.0
160485880,307,7,10,4,4,13445659.0
160485880,307,8,11,4,4,13445431.0
160485880,307,9,13,4,6,13444609.0
160485880,307,10,14,4,7,13444596.0
160485880,307,11,15,4,7,13444683.0
160485905,301,1,1,4,0,13467715.0
160485905,301,2,2,4,2,13467650.0
160485905,301,3,8,4,7,13466982.0
160485905,301,4,10,4,9,13466802.0
160485905,301,5,11,4,10,152.0
160485905,301,6,13,4,11,13466418.0
160485905,301,7,14,4,13,102.0
160485905,301,8,16,4,14,13466199.0
160485905,301,9,17,4,14,13466110.0
160485905,301,10,18,4,15,13465979.0
160485905,301,11,19,4,16,13465894.0
160485905,301,12,20,4,16,13465795.0
160485905,301,13,21,4,17,13465673.0
160485905,301,14,22,4,18,13465571.0
160485905,301,15,23,4,18,13465478.0
160485905,301,16,24,4,19,13465313.0
160485916,335,1,1,4,1,13461926.0
160485916,335,2,2,4,2,13462239.0
160485916,335,3,3,4,2,13462698.0
160485916,335,4,4,4,3,13463074.0
160485916,335,5,5,4,3,13463440.0
