ward_o,ward_d,type,total
1,13,lep_ev,0.4402358127049022
1,13,lep_md,9.638340388286103
1,13,lep_pm,1.9865159426677934
1,13,lico_am,359.3925897244358
1,13,lico_ev,8.885495000657551
1,13,lico_md,44.0
1,13,lico_pm,17.0
1,13,rac_am,601.4629147177022
1,13,rac_em,16.774000887640717
1,13,rac_ev,8.99667476701263
1,13,rac_md,91.74120303451247
1,13,rac_pm,45.48920750785566
1,13,raw_am,781.5130116748765
1,13,raw_em,20.0
1,13,raw_ev,17.885495000657553
1,13,raw_md,110.0
1,13,raw_pm,82.12140630677263
1,14,ab_am,0.0507639138149076
1,14,ab_pm,0.1946832680298097
1,14,bl_am,7.323412364603399
1,14,bl_pm,3.554008440033485
1,14,c0_pm,7.0
1,14,imm_am,3.473211851751778
1,14,imm_pm,2.1867876887206266
1,14,lep_am,1.3964094093597643
1,14,lep_pm,2.3806210809448216
1,14,lico_am,16.0
1,14,lico_pm,33.0
1,14,rac_am,31.343141811955974
1,14,rac_pm,20.394032639933044
1,14,raw_am,37.0
1,14,raw_pm,40.0
1,15,ab_am,0.1590594642265718
1,15,ab_pm,0.0
1,15,bl_am,10.563856091207192
1,15,bl_pm,0.4079423166328738
1,15,c0_pm,20.0
1,15,imm_am,5.402536754682499
1,15,imm_pm,0.3052884984684954
