origin,destination,type,total
22,420,raw_am,17
22,454,raw_md,28
22,471,lico_pm,24
22,471,raw_pm,24
22,476,raw_am,11
22,506,raw_pm,26
22,531,lico_pm,50
22,531,raw_pm,50
22,537,lico_md,17
22,537,raw_md,17
22,545,raw_am,19
23,25,raw_pm,5
23,52,raw_md,5
23,54,raw_am,5
23,63,raw_am,47
23,72,raw_pm,5
23,76,lico_pm,30
23,76,raw_pm,30
23,77,raw_pm,18
23,78,raw_pm,18
23,92,raw_pm,6
23,98,lico_am,42
23,98,raw_am,42
23,116,lico_pm,19
23,116,raw_pm,19
23,202,raw_pm,20
23,234,raw_pm,23
23,271,raw_pm,5
23,310,raw_am,23
23,413,lico_pm,18
23,413,raw_pm,18
23,542,lico_am,5
23,542,raw_am,5
23,549,raw_pm,22
23,563,lico_pm,31
23,563,raw_pm,31
23,588,lico_pm,17
23,588,raw_pm,17
24,21,raw_am,5
24,34,raw_am,34
24,39,lico_am,55
24,39,raw_am,55
24,45,lico_md,23
24,45,raw_md,23
24,48,raw_pm,67
24,49,lico_am,13
24,49,raw_am,13
24,68,raw_am,46
24,69,raw_md,43
24,71,raw_ev,29
24,76,lico_md,55
24,76,raw_md,55
24,79,raw_pm,22
24,119,raw_pm,19
24,182,lico_ev,15
24,182,raw_ev,15
24,258,lico_pm,102
24,258,raw_pm,102
24,259,raw_pm,6
24,391,lico_am,17
24,391,raw_am,28
24,433,lico_pm,16
24,433,raw_pm,16
24,442,raw_am,43
24,529,lico_pm,24
24,529,raw_pm,24
24,566,lico_md,56
24,566,raw_md,56
25,5,lico_md,28
25,5,raw_md,28
25,5,raw_pm,5
25,14,lico_md,14
25,14,raw_md,14
25,16,raw_md,6
25,17,lico_ev,30
25,17,raw_ev,30
25,18,raw_ev,21
25,18,raw_pm,9
25,21,lico_pm,33
25,21,raw_am,12
25,21,raw_pm,33
25,22,lico_am,43
25,22,raw_am,43
25,38,raw_pm,16
25,41,raw_pm,8
25,42,raw_md,76
25,43,lico_am,9
25,43,raw_am,31
25,43,raw_pm,19
25,45,raw_am,26
25,46,raw_ev,15
25,47,raw_md,10
25,48,raw_pm,18
25,51,raw_am,11
25,52,lico_md,13
25,52,raw_md,13
25,55,raw_am,20
25,56,raw_md,29
25,57,raw_am,9
25,60,raw_am,12
25,63,raw_am,42
25,65,raw_pm,17
25,66,lico_pm,22
25,66,raw_pm,41
25,67,raw_ev,18
25,68,raw_am,10
25,68,raw_pm,27
25,70,raw_am,11
25,71,raw_am,9
25,74,lico_md,22
