node_id,tv_bc_single,o_node_time,d_node_time,o_node,d_node
13464254-20-25,1.0,1005-0-20-11,1250-0-99-99,1005,1250
220-20-34,1.0,1005-0-20-11,1250-0-99-99,1005,1250
13463522-20-28,1.0,1005-0-20-11,1250-0-99-99,1005,1250
225-20-47,1.0,1005-0-20-11,1250-0-99-99,1005,1250
1250-99-99,1.0,1005-0-20-11,1250-0-99-99,1005,1250
13463166-20-30,1.0,1005-0-20-11,1250-0-99-99,1005,1250
13462117-20-33,1.0,1005-0-20-11,1250-0-99-99,1005,1250
13463245-20-29,1.0,1005-0-20-11,1250-0-99-99,1005,1250
13465276-20-19,1.0,1005-0-20-11,1250-0-99-99,1005,1250
13462891-20-31,1.0,1005-0-20-11,1250-0-99-99,1005,1250
13462518-20-32,1.0,1005-0-20-11,1250-0-99-99,1005,1250
220-20-36,1.0,1005-0-20-11,1250-0-99-99,1005,1250
221-20-39,1.0,1005-0-20-11,1250-0-99-99,1005,1250
1005-20-11,1.0,1005-0-20-11,1250-0-99-99,1005,1250
220-20-38,1.0,1005-0-20-11,1250-0-99-99,1005,1250
13463796-20-28,1.0,1005-0-20-11,1250-0-99-99,1005,1250
13465276-20-21,1.0,1006-0-20-11,1066-0-99-99,1006,1066
13464855-20-22,1.0,1006-0-20-11,1066-0-99-99,1006,1066
13465837-20-17,0.5,1006-0-20-11,1066-0-99-99,1006,1066
13465313-20-31,1.0,1006-0-20-11,1066-0-99-99,1006,1066
13464855-20-24,1.0,1006-0-20-11,1066-0-99-99,1006,1066
13466199-20-39,1.0,1006-0-20-11,1066-0-99-99,1006,1066
13465017-20-28,1.0,1006-0-20-11,1066-0-99-99,1006,1066
13465231-20-30,1.0,1006-0-20-11,1066-0-99-99,1006,1066
13466418-20-41,1.0,1006-0-20-11,1066-0-99-99,1006,1066
1006-20-11,1.0,1006-0-20-11,1066-0-99-99,1006,1066
13466110-20-38,1.0,1006-0-20-11,1066-0-99-99,1006,1066
13465979-20-37,1.0,1006-0-20-11,1066-0-99-99,1006,1066
13465795-20-35,1.0,1006-0-20-11,1066-0-99-99,1006,1066
13466708-20-46,1.0,1006-0-20-11,1066-0-99-99,1006,1066
13465837-20-20,1.0,1006-0-20-11,1066-0-99-99,1006,1066
13466708-20-48,1.0,1006-0-20-11,1066-0-99-99,1006,1066
13464948-20-27,1.0,1006-0-20-11,1066-0-99-99,1006,1066
13464855-20-26,1.0,1006-0-20-11,1066-0-99-99,1006,1066
13465673-20-34,1.0,1006-0-20-11,1066-0-99-99,1006,1066
152-20-44,1.0,1006-0-20-11,1066-0-99-99,1006,1066
13465837-20-16,0.5,1006-0-20-11,1066-0-99-99,1006,1066
1066-99-99,1.0,1006-0-20-11,1066-0-99-99,1006,1066
13465109-20-29,1.0,1006-0-20-11,1066-0-99-99,1006,1066
13465478-20-32,1.0,1006-0-20-11,1066-0-99-99,1006,1066
13465571-20-33,1.0,1006-0-20-11,1066-0-99-99,1006,1066
102-20-40,1.0,1006-0-20-11,1066-0-99-99,1006,1066
13465894-20-36,1.0,1006-0-20-11,1066-0-99-99,1006,1066
13465837-20-18,0.5,1006-0-20-11,1066-0-99-99,1006,1066
13466194-20-12,0.5,1006-0-20-11,1066-0-99-99,1006,1066
13466194-20-16,0.5,1006-0-20-11,1066-0-99-99,1006,1066
13466194-20-14,0.5,1006-0-20-11,1066-0-99-99,1006,1066
13466194-20-19,0.5,1006-0-20-11,1066-0-99-99,1006,1066
13466194-20-15,0.5,1006-0-20-11,1066-0-99-99,1006,1066
13466194-20-17,0.5,1006-0-20-11,1066-0-99-99,1006,1066
13466194-20-13,0.5,1006-0-20-11,1066-0-99-99,1006,1066
226-20-47,1.0,1006-0-20-11,1495-0-99-99,1006,1495
13446827-21-17,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
13465276-20-21,1.0,1006-0-20-11,1495-0-99-99,1006,1495
13445757-21-27,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
224-20-44,1.0,1006-0-20-11,1495-0-99-99,1006,1495
13446062-21-23,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
222-20-40,1.0,1006-0-20-11,1495-0-99-99,1006,1495
13446642-21-18,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
13464662-20-24,1.0,1006-0-20-11,1495-0-99-99,1006,1495
13464855-20-22,1.0,1006-0-20-11,1495-0-99-99,1006,1495
13465837-20-17,0.5,1006-0-20-11,1495-0-99-99,1006,1495
223-20-41,1.0,1006-0-20-11,1495-0-99-99,1006,1495
302-21-6,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
225-20-45,1.0,1006-0-20-11,1495-0-99-99,1006,1495
13464254-20-25,1.0,1006-0-20-11,1495-0-99-99,1006,1495
1495-99-99,1.0,1006-0-20-11,1495-0-99-99,1006,1495
303-21-7,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
304-21-12,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
13446514-21-19,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
220-20-34,1.0,1006-0-20-11,1495-0-99-99,1006,1495
13463522-20-28,1.0,1006-0-20-11,1495-0-99-99,1006,1495
1006-20-11,1.0,1006-0-20-11,1495-0-99-99,1006,1495
228-20-58,1.0,1006-0-20-11,1495-0-99-99,1006,1495
301-21-3,0.6666666666666666,1006-0-20-11,1495-0-99-99,1006,1495
228-20-55,1.0,1006-0-20-11,1495-0-99-99,1006,1495
13446304-21-21,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
305-21-16,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
13465837-20-20,1.0,1006-0-20-11,1495-0-99-99,1006,1495
228-20-57,1.0,1006-0-20-11,1495-0-99-99,1006,1495
13463166-20-30,1.0,1006-0-20-11,1495-0-99-99,1006,1495
304-21-14,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
13445922-21-24,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
304-21-11,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
304-21-9,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
13465837-20-16,0.5,1006-0-20-11,1495-0-99-99,1006,1495
13462117-20-33,1.0,1006-0-20-11,1495-0-99-99,1006,1495
227-20-51,1.0,1006-0-20-11,1495-0-99-99,1006,1495
13463245-20-29,1.0,1006-0-20-11,1495-0-99-99,1006,1495
13462518-20-32,1.0,1006-0-20-11,1495-0-99-99,1006,1495
13462891-20-31,1.0,1006-0-20-11,1495-0-99-99,1006,1495
220-20-36,1.0,1006-0-20-11,1495-0-99-99,1006,1495
221-20-39,1.0,1006-0-20-11,1495-0-99-99,1006,1495
13446212-21-22,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
13445757-21-25,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
220-20-38,1.0,1006-0-20-11,1495-0-99-99,1006,1495
228-21-0,1.0,1006-0-20-11,1495-0-99-99,1006,1495
13463796-20-28,1.0,1006-0-20-11,1495-0-99-99,1006,1495
13465837-20-18,0.5,1006-0-20-11,1495-0-99-99,1006,1495
13466194-20-12,0.5,1006-0-20-11,1495-0-99-99,1006,1495
13466194-20-16,0.5,1006-0-20-11,1495-0-99-99,1006,1495
13466194-20-14,0.5,1006-0-20-11,1495-0-99-99,1006,1495
13466194-20-19,0.5,1006-0-20-11,1495-0-99-99,1006,1495
13466194-20-15,0.5,1006-0-20-11,1495-0-99-99,1006,1495
13466194-20-17,0.5,1006-0-20-11,1495-0-99-99,1006,1495
13466194-20-13,0.5,1006-0-20-11,1495-0-99-99,1006,1495
13446940-21-32,0.6666666666666666,1006-0-20-11,1495-0-99-99,1006,1495
13451218-21-6,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
13450601-21-7,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
13448960-21-19,0.6666666666666666,1006-0-20-11,1495-0-99-99,1006,1495
13446940-21-30,0.6666666666666666,1006-0-20-11,1495-0-99-99,1006,1495
13449023-21-19,0.6666666666666666,1006-0-20-11,1495-0-99-99,1006,1495
13449608-21-14,0.6666666666666666,1006-0-20-11,1495-0-99-99,1006,1495
13448109-21-25,0.6666666666666666,1006-0-20-11,1495-0-99-99,1006,1495
13448254-21-25,0.6666666666666666,1006-0-20-11,1495-0-99-99,1006,1495
13452476-21-4,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
13447158-21-28,0.6666666666666666,1006-0-20-11,1495-0-99-99,1006,1495
13449830-21-11,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
13449501-21-15,0.6666666666666666,1006-0-20-11,1495-0-99-99,1006,1495
13446835-21-29,0.6666666666666666,1006-0-20-11,1495-0-99-99,1006,1495
13449378-21-16,0.6666666666666666,1006-0-20-11,1495-0-99-99,1006,1495
13451799-21-5,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
13446878-21-30,0.6666666666666666,1006-0-20-11,1495-0-99-99,1006,1495
13448547-21-23,0.6666666666666666,1006-0-20-11,1495-0-99-99,1006,1495
13449830-21-9,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
13448378-21-24,0.6666666666666666,1006-0-20-11,1495-0-99-99,1006,1495
13447932-21-26,0.6666666666666666,1006-0-20-11,1495-0-99-99,1006,1495
13448786-21-21,0.6666666666666666,1006-0-20-11,1495-0-99-99,1006,1495
13448052-21-26,0.6666666666666666,1006-0-20-11,1495-0-99-99,1006,1495
13452253-21-4,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
13448868-21-20,0.6666666666666666,1006-0-20-11,1495-0-99-99,1006,1495
13450111-21-8,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
13448487-21-24,0.6666666666666666,1006-0-20-11,1495-0-99-99,1006,1495
13447571-21-27,0.6666666666666666,1006-0-20-11,1495-0-99-99,1006,1495
13449830-21-13,0.6666666666666666,1006-0-20-11,1495-0-99-99,1006,1495
13449204-21-17,0.6666666666666666,1006-0-20-11,1495-0-99-99,1006,1495
301-21-7,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
301-21-8,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
301-21-5,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
301-21-10,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
13449905-21-12,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
301-21-6,0.3333333333333333,1006-0-20-11,1495-0-99-99,1006,1495
226-20-47,1.0,1006-0-20-11,1582-0-99-99,1006,1582
13449786-21-8,1.0,1006-0-20-11,1582-0-99-99,1006,1582
13449009-21-10,1.0,1006-0-20-11,1582-0-99-99,1006,1582
13450676-21-6,1.0,1006-0-20-11,1582-0-99-99,1006,1582
13465276-20-21,1.0,1006-0-20-11,1582-0-99-99,1006,1582
224-20-44,1.0,1006-0-20-11,1582-0-99-99,1006,1582
13446213-21-19,1.0,1006-0-20-11,1582-0-99-99,1006,1582
13447299-21-14,1.0,1006-0-20-11,1582-0-99-99,1006,1582
222-20-40,1.0,1006-0-20-11,1582-0-99-99,1006,1582
13452055-21-4,1.0,1006-0-20-11,1582-0-99-99,1006,1582
