INT_ID,bc_single,o_node_time,d_node_time,o_node,d_node
13463693,0.33727810650887574,1025-0-20-45,1523-0-99-99,1025,1523
13465366,0.3106508875739645,1025-0-20-45,1523-0-99-99,1025,1523
13465979,0.34615384615384615,1025-0-20-45,1523-0-99-99,1025,1523
13463953,0.35502958579881655,1025-0-20-45,1523-0-99-99,1025,1523
13464912,0.35502958579881655,1025-0-20-45,1523-0-99-99,1025,1523
216,0.7041420118343196,1025-0-20-45,1523-0-99-99,1025,1523
13466341,0.11834319526627218,1025-0-20-45,1523-0-99-99,1025,1523
105,0.363905325443787,1025-0-20-45,1523-0-99-99,1025,1523
106,0.363905325443787,1025-0-20-45,1523-0-99-99,1025,1523
103,0.363905325443787,1025-0-20-45,1523-0-99-99,1025,1523
102,0.35502958579881655,1025-0-20-45,1523-0-99-99,1025,1523
104,0.363905325443787,1025-0-20-45,1523-0-99-99,1025,1523
13466110,0.2485207100591716,1025-0-20-45,1523-0-99-99,1025,1523
13466199,0.2485207100591716,1025-0-20-45,1523-0-99-99,1025,1523
13465894,0.08875739644970414,1025-0-20-45,1523-0-99-99,1025,1523
13463777,0.08284023668639054,1025-0-20-45,1523-0-99-99,1025,1523
13463124,0.08284023668639054,1025-0-20-45,1523-0-99-99,1025,1523
13464403,0.0650887573964497,1025-0-20-45,1523-0-99-99,1025,1523
13464154,0.0650887573964497,1025-0-20-45,1523-0-99-99,1025,1523
13463389,0.08284023668639054,1025-0-20-45,1523-0-99-99,1025,1523
13464785,0.0650887573964497,1025-0-20-45,1523-0-99-99,1025,1523
20235156,0.0621301775147929,1025-0-20-45,1523-0-99-99,1025,1523
13465179,0.07692307692307693,1025-0-20-45,1523-0-99-99,1025,1523
13465269,0.023668639053254437,1025-0-20-45,1523-0-99-99,1025,1523
13465567,0.05029585798816568,1025-0-20-45,1523-0-99-99,1025,1523
13465795,0.047337278106508875,1025-0-20-45,1523-0-99-99,1025,1523
13465959,0.03254437869822485,1025-0-20-45,1523-0-99-99,1025,1523
13466475,0.011834319526627219,1025-0-20-45,1523-0-99-99,1025,1523
13466668,0.008875739644970414,1025-0-20-45,1523-0-99-99,1025,1523
13466801,0.005917159763313609,1025-0-20-45,1523-0-99-99,1025,1523
14036494,0.0029585798816568047,1025-0-20-45,1523-0-99-99,1025,1523
13463868,0.01775147928994083,1025-0-20-45,1523-0-99-99,1025,1523
107,0.011834319526627219,1025-0-20-45,1523-0-99-99,1025,1523
13465671,0.005917159763313609,1025-0-20-45,1523-0-99-99,1025,1523
13465569,0.005917159763313609,1025-0-20-45,1523-0-99-99,1025,1523
101,0.026627218934911243,1025-0-20-45,1523-0-99-99,1025,1523
13466729,0.023668639053254437,1025-0-20-45,1523-0-99-99,1025,1523
13466630,0.01775147928994083,1025-0-20-45,1523-0-99-99,1025,1523
13464720,0.01775147928994083,1025-0-20-45,1523-0-99-99,1025,1523
13464879,0.01775147928994083,1025-0-20-45,1523-0-99-99,1025,1523
13464965,0.01775147928994083,1025-0-20-45,1523-0-99-99,1025,1523
