o_node_time,d_node_time,INT_ID_o,INT_ID_d,route,bc_single
1016-0-11-29,1109-0-99-99,13468080,13468148,501.0,0.8333333333333334
1016-0-11-29,1109-0-99-99,13468120,13468224,504.0,0.16666666666666666
1016-0-11-29,1109-0-99-99,13468148,13468216,501.0,0.4166666666666667
1016-0-11-29,1109-0-99-99,13468224,20056886,504.0,0.16666666666666666
1016-0-11-29,1109-0-99-99,13468374,13468465,504.0,0.16666666666666666
1016-0-11-29,1109-0-99-99,13468465,13468520,504.0,0.16666666666666666
1016-0-11-29,1109-0-99-99,14243510,13466241,504.0,0.125
1016-0-11-29,1109-0-99-99,14243510,13466241,514.0,0.8333333333333334
1016-0-11-29,1109-0-99-99,151,13467321,504.0,0.16666666666666666
1016-0-11-29,1109-0-99-99,151,13467321,514.0,0.8333333333333334
1016-0-11-29,1109-0-99-99,20056886,13468374,504.0,0.16666666666666666
1016-0-11-29,1109-0-99-99,30109241,13467715,501.0,0.8333333333333334
1016-0-11-29,1391-0-99-99,100,151,1.0,0.5
1016-0-11-29,1391-0-99-99,101,100,1.0,0.5
1016-0-11-29,1391-0-99-99,101,13466960,504.0,0.3333333333333333
1016-0-11-29,1391-0-99-99,101,13466960,514.0,0.16666666666666666
1016-0-11-29,1391-0-99-99,13447779,13448065,196.0,1.0
1016-0-11-29,1391-0-99-99,13448065,20015388,196.0,1.0
1016-0-11-29,1391-0-99-99,13448413,20015401,196.0,1.0
1016-0-11-29,1391-0-99-99,13465784,13465975,504.0,0.16666666666666666
1016-0-11-29,1391-0-99-99,13465975,14243510,504.0,0.3333333333333333
1016-0-11-29,1391-0-99-99,13465975,14243510,514.0,0.16666666666666666
1016-0-11-29,1391-0-99-99,13466241,13466404,504.0,0.6666666666666666
1016-0-11-29,1391-0-99-99,13466241,13466404,514.0,0.3333333333333333
1016-0-11-29,1391-0-99-99,13466404,13466482,504.0,0.6666666666666666
1016-0-11-29,1391-0-99-99,13466404,13466482,514.0,0.3333333333333333
1016-0-11-29,1391-0-99-99,13466482,13466630,504.0,0.6666666666666666
1016-0-11-29,1391-0-99-99,13466482,13466630,514.0,0.3333333333333333
1016-0-11-29,1391-0-99-99,13466630,13466729,504.0,0.6666666666666666
1016-0-11-29,1391-0-99-99,13466630,13466729,514.0,0.3333333333333333
1016-0-11-29,1391-0-99-99,13466729,101,504.0,0.6666666666666666
1016-0-11-29,1391-0-99-99,13466729,101,514.0,0.3333333333333333
1016-0-11-29,1391-0-99-99,13466960,151,504.0,0.3333333333333333
1016-0-11-29,1391-0-99-99,13466960,151,514.0,0.16666666666666666
1016-0-11-29,1391-0-99-99,14243510,13466241,504.0,0.5
1016-0-11-29,1391-0-99-99,14243510,13466241,514.0,0.3333333333333333
1016-0-11-29,1391-0-99-99,151,152,1.0,1.0
1016-0-11-29,1391-0-99-99,152,153,1.0,1.0
1016-0-11-29,1391-0-99-99,153,154,1.0,1.0
1016-0-11-29,1391-0-99-99,154,155,1.0,1.0
1016-0-11-29,1391-0-99-99,155,156,1.0,1.0
1016-0-11-29,1391-0-99-99,156,157,1.0,1.0
1016-0-11-29,1391-0-99-99,157,158,1.0,1.0
1016-0-11-29,1391-0-99-99,158,159,1.0,1.0
1016-0-11-29,1391-0-99-99,159,160,1.0,1.0
1016-0-11-29,1391-0-99-99,160,161,1.0,1.0
1016-0-11-29,1391-0-99-99,161,162,1.0,1.0
1016-0-11-29,1391-0-99-99,162,163,1.0,1.0
1016-0-11-29,1391-0-99-99,163,164,1.0,1.0
1016-0-11-29,1391-0-99-99,164,165,1.0,1.0
1016-0-11-29,1391-0-99-99,165,13447779,196.0,1.0
1016-0-11-29,1391-0-99-99,20015388,13448413,196.0,1.0
1016-0-11-29,1391-0-99-99,20015401,13447680,196.0,1.0
1017-0-11-29,1037-0-99-99,13465571,13465673,501.0,0.5
1017-0-11-29,1037-0-99-99,13465673,13465795,501.0,1.0
1017-0-11-29,1037-0-99-99,13465795,13465894,501.0,1.0
1017-0-11-29,1037-0-99-99,13465894,13465979,501.0,1.0
1017-0-11-29,1037-0-99-99,13465979,13466110,501.0,1.0
1017-0-11-29,1037-0-99-99,13466110,13466199,501.0,1.0
1017-0-11-29,1051-0-99-99,104,13464999,506.0,1.0
1017-0-11-29,1051-0-99-99,13464403,13464520,506.0,1.0
1017-0-11-29,1051-0-99-99,13464520,13464607,506.0,1.0
1017-0-11-29,1051-0-99-99,13464586,13464667,506.0,0.5
1017-0-11-29,1051-0-99-99,13464607,13464719,506.0,1.0
1017-0-11-29,1051-0-99-99,13464667,13464785,506.0,1.0
1017-0-11-29,1051-0-99-99,13464719,13464821,506.0,1.0
1017-0-11-29,1051-0-99-99,13464785,13464403,506.0,1.0
1017-0-11-29,1051-0-99-99,13464821,104,506.0,1.0
1017-0-11-29,1051-0-99-99,13464999,13465052,506.0,1.0
1017-0-11-29,1066-0-99-99,102,13466418,501.0,1.0
1017-0-11-29,1066-0-99-99,13465571,13465673,501.0,0.5
1017-0-11-29,1066-0-99-99,13465673,13465795,501.0,1.0
1017-0-11-29,1066-0-99-99,13465795,13465894,501.0,1.0
1017-0-11-29,1066-0-99-99,13465894,13465979,501.0,1.0
1017-0-11-29,1066-0-99-99,13465979,13466110,501.0,1.0
1017-0-11-29,1066-0-99-99,13466110,13466199,501.0,1.0
1017-0-11-29,1066-0-99-99,13466199,102,501.0,1.0
1017-0-11-29,1066-0-99-99,13466418,152,501.0,1.0
1017-0-11-29,1066-0-99-99,152,13466708,501.0,1.0
1017-0-11-29,1139-0-99-99,100,151,1.0,0.23076923076923078
1017-0-11-29,1139-0-99-99,101,100,1.0,0.23076923076923078
1017-0-11-29,1139-0-99-99,102,101,1.0,0.15384615384615385
1017-0-11-29,1139-0-99-99,102,13466418,501.0,0.15384615384615385
1017-0-11-29,1139-0-99-99,103,13465822,505.0,0.46153846153846156
1017-0-11-29,1139-0-99-99,104,13464999,506.0,0.15384615384615385
1017-0-11-29,1139-0-99-99,13455749,13455864,52.0,1.0
1017-0-11-29,1139-0-99-99,13455864,13455979,52.0,1.0
1017-0-11-29,1139-0-99-99,13455979,13456031,52.0,1.0
1017-0-11-29,1139-0-99-99,13456031,13456161,52.0,1.0
1017-0-11-29,1139-0-99-99,13456161,13456252,52.0,1.0
1017-0-11-29,1139-0-99-99,13456252,13456342,52.0,1.0
1017-0-11-29,1139-0-99-99,13456342,13456468,52.0,1.0
1017-0-11-29,1139-0-99-99,13456468,13456692,52.0,1.0
1017-0-11-29,1139-0-99-99,13456692,13456793,52.0,1.0
1017-0-11-29,1139-0-99-99,13456793,13456952,52.0,1.0
1017-0-11-29,1139-0-99-99,13456952,13457121,52.0,1.0
1017-0-11-29,1139-0-99-99,13457121,13457330,52.0,1.0
1017-0-11-29,1139-0-99-99,13457330,13457431,52.0,1.0
1017-0-11-29,1139-0-99-99,13457431,13457705,52.0,1.0
1017-0-11-29,1139-0-99-99,13457705,13457834,52.0,0.5
