trip_id,stop_id,stop_sequence,INT_ID,hour,minute,seconds
39260709,14551,5,304,8,2,46
39260709,14552,6,305,8,7,15
39260710,14547,1,228,7,58,58
39260710,14548,2,301,8,1,58
39260710,14549,3,302,8,4,33
39260710,14550,4,303,8,5,58
39260710,14551,5,304,8,7,46
39260710,14552,6,305,8,12,15
39260711,14547,1,228,8,3,58
39260711,14548,2,301,8,6,58
39260711,14549,3,302,8,9,33
39260711,14550,4,303,8,10,58
39260711,14551,5,304,8,12,46
39260711,14552,6,305,8,17,15
39260712,14547,1,228,8,8,58
39260712,14548,2,301,8,11,58
39260712,14549,3,302,8,14,33
39260712,14550,4,303,8,15,58
39260712,14551,5,304,8,17,46
39260712,14552,6,305,8,22,15
39260713,14547,1,228,8,13,58
39260713,14548,2,301,8,16,58
39260713,14549,3,302,8,19,33
39260713,14550,4,303,8,20,58
39260713,14551,5,304,8,22,46
39260713,14552,6,305,8,27,15
39260714,14547,1,228,8,18,58
39260714,14548,2,301,8,21,58
39260714,14549,3,302,8,24,33
39260714,14550,4,303,8,25,58
39260714,14551,5,304,8,27,46
39260714,14552,6,305,8,32,15
39260715,14547,1,228,8,23,58
39260715,14548,2,301,8,26,58
39260715,14549,3,302,8,29,33
39260715,14550,4,303,8,30,58
39260715,14551,5,304,8,32,46
39260715,14552,6,305,8,37,15
39260716,14547,1,228,8,28,58
39260716,14548,2,301,8,31,58
39260716,14549,3,302,8,34,33
39260716,14550,4,303,8,35,58
39260716,14551,5,304,8,37,46
39260716,14552,6,305,8,42,15
39260717,14547,1,228,8,33,58
39260717,14548,2,301,8,36,58
39260717,14549,3,302,8,39,33
39260717,14550,4,303,8,40,58
39260717,14551,5,304,8,42,46
39260717,14552,6,305,8,47,15
39260718,14547,1,228,8,38,58
39260718,14548,2,301,8,41,58
39260718,14549,3,302,8,44,33
39260718,14550,4,303,8,45,58
39260718,14551,5,304,8,47,46
39260718,14552,6,305,8,52,15
39260719,14547,1,228,8,43,58
39260719,14548,2,301,8,46,58
39260719,14549,3,302,8,49,33
39260719,14550,4,303,8,50,58
39260719,14551,5,304,8,52,46
39260719,14552,6,305,8,57,15
39260720,14547,1,228,8,48,58
39260720,14548,2,301,8,51,58
39260720,14549,3,302,8,54,33
39260720,14550,4,303,8,55,58
39260720,14551,5,304,8,57,46
39260720,14552,6,305,9,2,15
39260721,14547,1,228,8,53,58
39260721,14548,2,301,8,56,58
39260721,14549,3,302,8,59,33
39260721,14550,4,303,9,0,58
39260721,14551,5,304,9,2,46
39260721,14552,6,305,9,7,15
39260722,14547,1,228,8,58,58
39260722,14548,2,301,9,1,58
39260722,14549,3,302,9,4,33
39260722,14550,4,303,9,5,58
39260722,14551,5,304,9,7,46
39260722,14552,6,305,9,12,15
39260723,14547,1,228,9,3,58
39260723,14548,2,301,9,6,58
39260723,14549,3,302,9,9,33
39260723,14550,4,303,9,10,58
39260723,14551,5,304,9,12,46
39260723,14552,6,305,9,17,15
39260724,14547,1,228,9,8,58
39260724,14548,2,301,9,11,58
39260724,14549,3,302,9,14,33
39260724,14550,4,303,9,15,58
39260724,14551,5,304,9,17,46
39260724,14552,6,305,9,22,15
39260725,14547,1,228,11,17,15
39260725,14548,2,301,11,20,20
39260725,14549,3,302,11,23,0
39260725,14550,4,303,11,24,30
39260725,14551,5,304,11,26,23
39260725,14552,6,305,11,30,45
39260726,14547,1,228,11,24,0
39260726,14548,2,301,11,27,5
39260726,14549,3,302,11,29,45
39260726,14550,4,303,11,31,15
39260726,14551,5,304,11,33,8
39260726,14552,6,305,11,37,30
39260727,14547,1,228,11,30,45
39260727,14548,2,301,11,33,50
39260727,14549,3,302,11,36,30
39260727,14550,4,303,11,38,0
39260727,14551,5,304,11,39,53
39260727,14552,6,305,11,44,15
39260728,14547,1,228,11,37,30
39260728,14548,2,301,11,40,35
39260728,14549,3,302,11,43,15
39260728,14550,4,303,11,44,45
39260728,14551,5,304,11,46,38
39260728,14552,6,305,11,51,0
39260729,14547,1,228,11,44,15
39260729,14548,2,301,11,47,20
39260729,14549,3,302,11,50,0
39260729,14550,4,303,11,51,30
39260729,14551,5,304,11,53,23
39260729,14552,6,305,11,57,45
39260730,14547,1,228,11,51,0
39260730,14548,2,301,11,54,5
39260730,14549,3,302,11,56,45
39260730,14550,4,303,11,58,15
39260731,14547,1,228,11,57,45
39260805,14547,1,228,9,13,58
39260805,14548,2,301,9,16,58
39260805,14549,3,302,9,19,33
39260805,14550,4,303,9,20,58
39260805,14551,5,304,9,22,46
39260805,14552,6,305,9,27,15
39260806,14547,1,228,9,18,58
39260806,14548,2,301,9,21,58
39260806,14549,3,302,9,24,33
39260806,14550,4,303,9,25,58
39260806,14551,5,304,9,27,46
39260806,14552,6,305,9,32,15
39260807,14547,1,228,9,23,58
39260807,14548,2,301,9,26,58
39260807,14549,3,302,9,29,33
39260807,14550,4,303,9,30,58
39260807,14551,5,304,9,32,46
39260807,14552,6,305,9,37,15
39260808,14547,1,228,9,28,58
39260808,14548,2,301,9,31,58
39260808,14549,3,302,9,34,33
39260808,14550,4,303,9,35,58
39260808,14551,5,304,9,37,46
39260808,14552,6,305,9,42,15
39260809,14547,1,228,9,33,58
39260809,14548,2,301,9,36,58
39260809,14549,3,302,9,39,33
39260809,14550,4,303,9,40,58
39260809,14551,5,304,9,42,46
39260809,14552,6,305,9,47,15
39260810,14547,1,228,9,38,58
39260810,14548,2,301,9,41,58
39260810,14549,3,302,9,44,33
39260810,14550,4,303,9,45,58
39260810,14551,5,304,9,47,46
39260810,14552,6,305,9,52,15
39260811,14547,1,228,9,43,58
39260811,14548,2,301,9,46,58
39260811,14549,3,302,9,49,33
39260811,14550,4,303,9,50,58
39260811,14551,5,304,9,52,46
39260811,14552,6,305,9,57,15
39260812,14547,1,228,9,48,58
39260812,14548,2,301,9,51,58
39260812,14549,3,302,9,54,33
39260812,14550,4,303,9,55,58
39260812,14551,5,304,9,57,46
39260812,14552,6,305,10,2,15
39260813,14547,1,228,9,53,58
39260813,14548,2,301,9,56,58
39260813,14549,3,302,9,59,33
39260813,14550,4,303,10,0,58
39260813,14551,5,304,10,2,46
39260813,14552,6,305,10,7,15
39260814,14547,1,228,9,58,58
39260814,14548,2,301,10,1,58
39260814,14549,3,302,10,4,33
39260814,14550,4,303,10,5,58
39260814,14551,5,304,10,7,46
39260814,14552,6,305,10,12,15
39260815,14547,1,228,10,3,58
39260815,14548,2,301,10,6,58
39260815,14549,3,302,10,9,33
39260815,14550,4,303,10,10,58
39260815,14551,5,304,10,12,46
39260815,14552,6,305,10,17,15
39260816,14547,1,228,10,8,58
39260816,14548,2,301,10,11,58
39260816,14549,3,302,10,14,33
39260816,14550,4,303,10,15,58
39260816,14551,5,304,10,17,46
39260816,14552,6,305,10,22,15
39260820,14547,1,228,10,13,58
39260820,14548,2,301,10,16,58
39260820,14549,3,302,10,19,33
39260820,14550,4,303,10,20,58
39260820,14551,5,304,10,22,46
39260820,14552,6,305,10,27,15
39260821,14547,1,228,10,18,58
39260821,14548,2,301,10,21,58
39260821,14549,3,302,10,24,33
39260821,14550,4,303,10,25,58
39260821,14551,5,304,10,27,46
39260821,14552,6,305,10,32,15
39260822,14547,1,228,10,23,58
39260822,14548,2,301,10,26,58
39260822,14549,3,302,10,29,33
39260822,14550,4,303,10,30,58
39260822,14551,5,304,10,32,46
39260822,14552,6,305,10,37,15
39260823,14547,1,228,10,28,58
39260823,14548,2,301,10,31,58
39260823,14549,3,302,10,34,33
39260823,14550,4,303,10,35,58
39260823,14551,5,304,10,37,46
39260823,14552,6,305,10,42,15
39260824,14547,1,228,10,33,58
39260824,14548,2,301,10,36,58
39260824,14549,3,302,10,39,33
39260824,14550,4,303,10,40,58
39260824,14551,5,304,10,42,46
39260824,14552,6,305,10,47,15
39260825,14547,1,228,10,38,58
39260825,14548,2,301,10,41,58
