o_node_time,d_node_time,INT_ID_o,INT_ID_d,route,bc_single
1021-0-4-39,1519-0-99-99,13462117,220,325.0,0.006097560975609756
1021-0-4-39,1519-0-99-99,13462225,13461623,322.0,0.03048780487804878
1021-0-4-39,1519-0-99-99,13462284,13461912,306.0,0.018292682926829267
1021-0-4-39,1519-0-99-99,13462427,13462225,322.0,0.03048780487804878
1021-0-4-39,1519-0-99-99,13462427,13462284,306.0,0.018292682926829267
1021-0-4-39,1519-0-99-99,13462427,13462844,306.0,0.006097560975609756
1021-0-4-39,1519-0-99-99,13462518,13462117,325.0,0.006097560975609756
1021-0-4-39,1519-0-99-99,13462704,218,304.0,0.01097560975609756
1021-0-4-39,1519-0-99-99,13462844,13462427,306.0,0.036585365853658534
1021-0-4-39,1519-0-99-99,13462844,13462427,322.0,0.018292682926829267
1021-0-4-39,1519-0-99-99,13462891,13462518,325.0,0.006097560975609756
1021-0-4-39,1519-0-99-99,13462953,13462844,306.0,0.04878048780487805
1021-0-4-39,1519-0-99-99,13463082,13462953,306.0,0.04878048780487805
1021-0-4-39,1519-0-99-99,13463084,13462704,304.0,0.00975609756097561
1021-0-4-39,1519-0-99-99,13463124,216,300.0,0.07682926829268293
1021-0-4-39,1519-0-99-99,13463124,217,300.0,0.8317073170731707
1021-0-4-39,1519-0-99-99,13463124,217,365.0,0.08780487804878048
1021-0-4-39,1519-0-99-99,13463166,13462891,325.0,0.006097560975609756
1021-0-4-39,1519-0-99-99,13463183,13463082,306.0,0.04878048780487805
1021-0-4-39,1519-0-99-99,13463245,13463166,325.0,0.006097560975609756
1021-0-4-39,1519-0-99-99,13463279,13463183,306.0,0.04878048780487805
1021-0-4-39,1519-0-99-99,13463372,13463279,306.0,0.04878048780487805
1021-0-4-39,1519-0-99-99,13463389,13463124,365.0,0.17073170731707318
1021-0-4-39,1519-0-99-99,13463447,13463084,304.0,0.00853658536585366
1021-0-4-39,1519-0-99-99,13463478,13463372,306.0,0.04878048780487805
1021-0-4-39,1519-0-99-99,13463522,13463245,325.0,0.006097560975609756
1021-0-4-39,1519-0-99-99,13463573,13463478,306.0,0.04878048780487805
1021-0-4-39,1519-0-99-99,13463705,13463573,306.0,0.04878048780487805
1021-0-4-39,1519-0-99-99,13463723,106,320.0,0.1
1021-0-4-39,1519-0-99-99,13463747,156,300.0,0.5353658536585366
1021-0-4-39,1519-0-99-99,13463747,215,300.0,0.6158536585365854
1021-0-4-39,1519-0-99-99,13463777,13463389,365.0,0.16585365853658537
1021-0-4-39,1519-0-99-99,13463777,13464154,365.0,0.09878048780487805
1021-0-4-39,1519-0-99-99,13463796,13463522,325.0,0.006097560975609756
1021-0-4-39,1519-0-99-99,13463796,13463705,306.0,0.04878048780487805
1021-0-4-39,1519-0-99-99,13463801,13463447,304.0,0.00853658536585366
1021-0-4-39,1519-0-99-99,13463892,13463796,306.0,0.054878048780487805
1021-0-4-39,1519-0-99-99,13464004,13463892,306.0,0.054878048780487805
1021-0-4-39,1519-0-99-99,13464154,13463777,365.0,0.16097560975609757
1021-0-4-39,1519-0-99-99,13464154,13464403,365.0,0.09634146341463415
1021-0-4-39,1519-0-99-99,13464177,13463801,304.0,0.007317073170731708
1021-0-4-39,1519-0-99-99,13464177,13464004,306.0,0.054878048780487805
1021-0-4-39,1519-0-99-99,13464269,13464177,306.0,0.06097560975609756
1021-0-4-39,1519-0-99-99,13464398,13464177,304.0,0.0012195121951219512
1021-0-4-39,1519-0-99-99,13464403,13464154,365.0,0.15609756097560976
1021-0-4-39,1519-0-99-99,13464403,13464785,306.0,0.08780487804878048
1021-0-4-39,1519-0-99-99,13464403,13464785,365.0,0.05731707317073171
1021-0-4-39,1519-0-99-99,13464417,214,317.0,0.0012195121951219512
1021-0-4-39,1519-0-99-99,13464490,13464269,306.0,0.06097560975609756
1021-0-4-39,1519-0-99-99,13464520,13464403,306.0,0.03414634146341464
1021-0-4-39,1519-0-99-99,13464586,13464490,306.0,0.06097560975609756
1021-0-4-39,1519-0-99-99,13464586,13464667,306.0,0.024390243902439025
1021-0-4-39,1519-0-99-99,13464658,13464398,304.0,0.0012195121951219512
1021-0-4-39,1519-0-99-99,13464667,13464586,306.0,0.08536585365853659
1021-0-4-39,1519-0-99-99,13464667,13464785,306.0,0.05365853658536585
1021-0-4-39,1519-0-99-99,13464785,13464403,306.0,0.04390243902439024
1021-0-4-39,1519-0-99-99,13464785,13464403,365.0,0.08780487804878048
1021-0-4-39,1519-0-99-99,13464785,13464667,306.0,0.10975609756097561
1021-0-4-39,1519-0-99-99,13464785,20235156,365.0,0.020731707317073172
1021-0-4-39,1519-0-99-99,13465043,210,300.0,0.06219512195121951
1021-0-4-39,1519-0-99-99,13465043,211,300.0,0.08658536585365853
