index,station1,station2,platform1_end_time_left,platform2_start_time_left,year,month,day,hour,date,dow,period,platform1_end_time_right,platform2_start_time_right,gap,train_id
9,lawrence_east,kennedy,2019-12-27 05:58:08.127000-05:00,2019-12-27 06:03:54.683000-05:00,2019,12,27,5,2019-12-27,4,EM,2019-12-27 06:10:18.591000-05:00,2019-12-27 06:14:11.064000-05:00,616,2
5,lawrence_east,kennedy,2019-12-23 05:59:58.838000-05:00,2019-12-23 06:11:07.744000-05:00,2019,12,23,5,2019-12-23,0,EM,2019-12-23 06:09:43.853000-05:00,2019-12-23 06:18:39.865000-05:00,452,4
199,lawrence_east,kennedy,2020-01-03 08:51:02.741000-05:00,2020-01-03 08:55:23.335000-05:00,2020,1,3,8,2020-01-03,4,EM,2020-01-03 08:59:23.657000-05:00,2020-01-03 09:04:13.956000-05:00,530,34
6,lawrence_east,kennedy,2019-12-12 05:46:22.726000-05:00,2019-12-12 05:58:48.162000-05:00,2019,12,12,5,2019-12-12,3,EM,2019-12-12 06:01:11.031000-05:00,2019-12-12 06:07:07.197000-05:00,499,1
6,lawrence_east,kennedy,2019-12-18 06:02:57.347000-05:00,2019-12-18 06:07:33.964000-05:00,2019,12,18,6,2019-12-18,2,EM,2019-12-18 06:12:32.048000-05:00,2019-12-18 06:17:31.547000-05:00,597,3
47,lawrence_east,kennedy,2019-12-18 06:42:58.639000-05:00,2019-12-18 06:47:26.278000-05:00,2019,12,18,6,2019-12-18,2,EM,2019-12-18 06:48:38.065000-05:00,2019-12-18 06:55:13.888000-05:00,467,11
134,lawrence_east,kennedy,2019-12-18 07:53:59.249000-05:00,2019-12-18 07:59:27.101000-05:00,2019,12,18,7,2019-12-18,2,EM,2019-12-18 07:59:07.117000-05:00,2019-12-18 08:13:38.560000-05:00,851,25
36,lawrence_east,kennedy,2019-12-13 12:02:34.643000-05:00,2019-12-13 12:07:53.856000-05:00,2019,12,13,12,2019-12-13,4,MD,2019-12-13 12:13:15.119000-05:00,2019-12-13 12:19:27.870000-05:00,694,11
45,lawrence_east,kennedy,2019-12-13 12:23:42.852000-05:00,2019-12-13 12:30:51.643000-05:00,2019,12,13,12,2019-12-13,4,MD,2019-12-13 12:38:03.869000-05:00,2019-12-13 12:41:55.447000-05:00,663,14
123,lawrence_east,kennedy,2019-12-13 14:06:52.087000-05:00,2019-12-13 14:12:33.236000-05:00,2019,12,13,14,2019-12-13,4,MD,2019-12-13 14:13:36.572000-05:00,2019-12-13 14:24:19.781000-05:00,706,33
2,lawrence_east,kennedy,2019-12-30 11:06:40.813000-05:00,2019-12-30 11:11:32.463000-05:00,2019,12,30,11,2019-12-30,0,MD,2019-12-30 11:17:11.925000-05:00,2019-12-30 11:21:19.876000-05:00,587,2
3,lawrence_east,kennedy,2019-12-30 11:17:11.925000-05:00,2019-12-30 11:21:19.876000-05:00,2019,12,30,11,2019-12-30,0,MD,2019-12-30 11:27:11.557000-05:00,2019-12-30 11:31:25.946000-05:00,606,3
8,lawrence_east,kennedy,2019-12-30 11:31:33.401000-05:00,2019-12-30 11:38:10.337000-05:00,2019,12,30,11,2019-12-30,0,MD,2019-12-30 11:43:51.302000-05:00,2019-12-30 11:48:18.731000-05:00,608,6
22,lawrence_east,kennedy,2019-12-30 11:59:43.291000-05:00,2019-12-30 12:05:23.138000-05:00,2019,12,30,11,2019-12-30,0,MD,2019-12-30 12:11:54.680000-05:00,2019-12-30 12:16:41.569000-05:00,678,9
23,lawrence_east,kennedy,2019-12-30 12:11:54.680000-05:00,2019-12-30 12:16:41.569000-05:00,2019,12,30,12,2019-12-30,0,MD,2019-12-30 12:20:15.414000-05:00,2019-12-30 12:26:59.964000-05:00,618,10
29,lawrence_east,kennedy,2019-12-30 12:26:46.903000-05:00,2019-12-30 12:34:47.251000-05:00,2019,12,30,12,2019-12-30,0,MD,2019-12-30 12:40:44.172000-05:00,2019-12-30 12:45:52.533000-05:00,665,12
41,lawrence_east,kennedy,2019-12-30 12:59:09.761000-05:00,2019-12-30 13:05:06.218000-05:00,2019,12,30,12,2019-12-30,0,MD,2019-12-30 13:08:37.241000-05:00,2019-12-30 13:13:19.684000-05:00,493,16
55,lawrence_east,kennedy,2019-12-30 13:18:59.939000-05:00,2019-12-30 13:26:09.954000-05:00,2019,12,30,13,2019-12-30,0,MD,2019-12-30 13:30:34.583000-05:00,2019-12-30 13:34:40.808000-05:00,510,20
62,lawrence_east,kennedy,2019-12-30 13:35:21.300000-05:00,2019-12-30 13:41:11.225000-05:00,2019,12,30,13,2019-12-30,0,MD,2019-12-30 13:45:36.803000-05:00,2019-12-30 13:51:04.684000-05:00,593,22
92,lawrence_east,kennedy,2019-12-30 14:20:11.838000-05:00,2019-12-30 14:25:53.172000-05:00,2019,12,30,14,2019-12-30,0,MD,2019-12-30 14:33:55.598000-05:00,2019-12-30 14:37:47.859000-05:00,714,29
105,lawrence_east,kennedy,2019-12-30 14:44:22.517000-05:00,2019-12-30 14:52:39.340000-05:00,2019,12,30,14,2019-12-30,0,MD,2019-12-30 15:01:07.663000-05:00,2019-12-30 15:06:05.631000-05:00,806,32
132,lawrence_east,kennedy,2019-12-30 15:27:31.949000-05:00,2019-12-30 15:33:01.530000-05:00,2019,12,30,15,2019-12-30,0,MD,2019-12-30 15:35:41.273000-05:00,2019-12-30 15:41:33.338000-05:00,511,37
7,lawrence_east,kennedy,2019-12-10 11:16:41.293000-05:00,2019-12-10 11:21:10.243000-05:00,2019,12,10,11,2019-12-10,1,MD,2019-12-10 11:21:27.497000-05:00,2019-12-10 11:28:43.120000-05:00,452,4
28,lawrence_east,kennedy,2019-12-10 11:57:58.568000-05:00,2019-12-10 12:01:43.442000-05:00,2019,12,10,11,2019-12-10,1,MD,2019-12-10 12:05:37.782000-05:00,2019-12-10 12:09:15.390000-05:00,451,10
162,lawrence_east,kennedy,2019-12-10 15:13:04.222000-05:00,2019-12-10 15:18:19.109000-05:00,2019,12,10,15,2019-12-10,1,MD,2019-12-10 15:23:43.320000-05:00,2019-12-10 15:27:58.651000-05:00,579,44
28,lawrence_east,kennedy,2019-12-03 11:44:23.509000-05:00,2019-12-03 11:50:03.290000-05:00,2019,12,3,11,2019-12-03,1,MD,2019-12-03 11:53:08.895000-05:00,2019-12-03 11:57:41.194000-05:00,457,8
43,lawrence_east,kennedy,2019-12-03 12:05:15.075000-05:00,2019-12-03 12:11:16.695000-05:00,2019,12,3,12,2019-12-03,1,MD,2019-12-03 12:11:38.094000-05:00,2019-12-03 12:18:48.943000-05:00,452,11
101,lawrence_east,kennedy,2019-12-03 13:19:17.911000-05:00,2019-12-03 13:24:35.868000-05:00,2019,12,3,13,2019-12-03,1,MD,2019-12-03 13:30:46.501000-05:00,2019-12-03 13:37:01.144000-05:00,745,25
118,lawrence_east,kennedy,2019-12-03 13:40:01.057000-05:00,2019-12-03 13:47:15.824000-05:00,2019,12,3,13,2019-12-03,1,MD,2019-12-03 13:49:25.655000-05:00,2019-12-03 13:57:16.642000-05:00,600,28
55,lawrence_east,kennedy,2019-12-11 12:30:01.114000-05:00,2019-12-11 12:34:22.501000-05:00,2019,12,11,12,2019-12-11,2,MD,2019-12-11 12:38:07.807000-05:00,2019-12-11 12:42:30.310000-05:00,487,15
91,lawrence_east,kennedy,2019-12-11 13:23:54.106000-05:00,2019-12-11 13:28:31.585000-05:00,2019,12,11,13,2019-12-11,2,MD,2019-12-11 13:29:50.902000-05:00,2019-12-11 13:36:54.572000-05:00,502,25
113,lawrence_east,kennedy,2019-12-11 13:47:27.172000-05:00,2019-12-11 13:55:45.719000-05:00,2019,12,11,13,2019-12-11,2,MD,2019-12-11 14:00:36.099000-05:00,2019-12-11 14:04:41.603000-05:00,535,31
168,lawrence_east,kennedy,2019-12-11 15:21:09.243000-05:00,2019-12-11 15:24:34.427000-05:00,2019,12,11,15,2019-12-11,2,MD,2019-12-11 15:27:38.096000-05:00,2019-12-11 15:32:11.098000-05:00,456,48
25,lawrence_east,kennedy,2019-12-06 11:26:49.309000-05:00,2019-12-06 11:33:35.148000-05:00,2019,12,6,11,2019-12-06,4,MD,2019-12-06 11:30:56.326000-05:00,2019-12-06 11:41:27.965000-05:00,472,5
69,lawrence_east,kennedy,2019-12-06 12:30:30.511000-05:00,2019-12-06 12:35:34.396000-05:00,2019,12,6,12,2019-12-06,4,MD,2019-12-06 12:38:34.874000-05:00,2019-12-06 12:43:08.703000-05:00,454,15
124,lawrence_east,kennedy,2019-12-06 13:40:54.283000-05:00,2019-12-06 13:47:13.447000-05:00,2019,12,6,13,2019-12-06,4,MD,2019-12-06 13:48:14.594000-05:00,2019-12-06 13:55:22.458000-05:00,489,27
164,lawrence_east,kennedy,2019-12-06 14:39:16.217000-05:00,2019-12-06 14:43:14.669000-05:00,2019,12,6,14,2019-12-06,4,MD,2019-12-06 14:43:45.697000-05:00,2019-12-06 14:50:53.470000-05:00,458,37
57,lawrence_east,kennedy,2019-12-17 12:34:07.389000-05:00,2019-12-17 12:43:05.980000-05:00,2019,12,17,12,2019-12-17,1,MD,2019-12-17 12:41:47.325000-05:00,2019-12-17 12:51:31.916000-05:00,505,18
84,lawrence_east,kennedy,2019-12-17 13:20:06.696000-05:00,2019-12-17 13:24:15.462000-05:00,2019,12,17,13,2019-12-17,1,MD,2019-12-17 13:27:56.937000-05:00,2019-12-17 13:31:51.017000-05:00,455,24
96,lawrence_east,kennedy,2019-12-17 13:46:40.551000-05:00,2019-12-17 13:50:57.221000-05:00,2019,12,17,13,2019-12-17,1,MD,2019-12-17 13:48:59.496000-05:00,2019-12-17 13:59:11.120000-05:00,493,28
105,lawrence_east,kennedy,2019-12-17 14:09:18.355000-05:00,2019-12-17 14:17:51.986000-05:00,2019,12,17,14,2019-12-17,1,MD,2019-12-17 14:19:05.134000-05:00,2019-12-17 14:26:22.970000-05:00,510,33
113,lawrence_east,kennedy,2019-12-17 14:20:52.325000-05:00,2019-12-17 14:30:08.807000-05:00,2019,12,17,14,2019-12-17,1,MD,2019-12-17 14:34:03.038000-05:00,2019-12-17 14:38:38.918000-05:00,510,35
115,lawrence_east,kennedy,2019-12-17 14:31:38.185000-05:00,2019-12-17 14:38:50.193000-05:00,2019,12,17,14,2019-12-17,1,MD,2019-12-17 14:39:38.318000-05:00,2019-12-17 14:46:40.277000-05:00,470,36
165,lawrence_east,kennedy,2019-12-17 15:44:43.174000-05:00,2019-12-17 15:50:08.647000-05:00,2019,12,17,15,2019-12-17,1,MD,2019-12-17 15:54:26.816000-05:00,2019-12-17 16:02:14.240000-05:00,725,49
28,lawrence_east,kennedy,2019-12-05 12:01:41.292000-05:00,2019-12-05 12:08:51.596000-05:00,2019,12,5,12,2019-12-05,3,MD,2019-12-05 12:12:46.623000-05:00,2019-12-05 12:17:30.040000-05:00,518,14
42,lawrence_east,kennedy,2019-12-05 12:31:38.799000-05:00,2019-12-05 12:35:21.828000-05:00,2019,12,5,12,2019-12-05,3,MD,2019-12-05 12:37:57.398000-05:00,2019-12-05 12:43:19.327000-05:00,477,19
48,lawrence_east,kennedy,2019-12-05 12:45:02.441000-05:00,2019-12-05 12:49:07.018000-05:00,2019,12,5,12,2019-12-05,3,MD,2019-12-05 12:52:59.532000-05:00,2019-12-05 12:57:02.089000-05:00,475,21
