station1,station2,depart_time,arrival_time
kennedy,lawrence_east,2019-12-05 00:28:53.862000128-05:00,2019-12-05 00:38:34.966000128-05:00
kennedy,lawrence_east,2019-12-05 00:45:28.646499840-05:00,2019-12-05 00:51:43.469499904-05:00
kennedy,lawrence_east,2019-12-05 00:46:56.886000128-05:00,2019-12-05 00:53:32.574000128-05:00
kennedy,lawrence_east,2019-12-27 20:04:50.538500096-05:00,2019-12-27 20:09:56.720999936-05:00
kennedy,lawrence_east,2019-12-27 20:04:54.610500096-05:00,2019-12-27 20:12:21.624000-05:00
kennedy,lawrence_east,2019-12-27 20:08:18.840000-05:00,2019-12-27 20:15:44.129999872-05:00
kennedy,lawrence_east,2019-12-27 20:13:13.084999936-05:00,2019-12-27 20:19:56.694000128-05:00
kennedy,lawrence_east,2019-12-27 20:21:34.772499968-05:00,2019-12-27 20:27:35.684999936-05:00
kennedy,lawrence_east,2019-12-27 20:24:14.732000-05:00,2019-12-27 20:30:43.200999936-05:00
kennedy,lawrence_east,2019-12-27 20:30:34.715000064-05:00,2019-12-27 20:37:46.912000-05:00
kennedy,lawrence_east,2019-12-27 20:34:24.468499968-05:00,2019-12-27 20:42:38.414500096-05:00
kennedy,lawrence_east,2019-12-27 20:40:08.368499968-05:00,2019-12-27 20:48:48.142500096-05:00
kennedy,lawrence_east,2019-12-27 20:50:31.959499776-05:00,2019-12-27 20:58:32.078000128-05:00
kennedy,lawrence_east,2019-12-27 20:55:24.209500160-05:00,2019-12-27 21:01:51.169499904-05:00
kennedy,lawrence_east,2019-12-27 21:06:57.386999808-05:00,2019-12-27 21:15:33.844499968-05:00
kennedy,lawrence_east,2019-12-27 21:24:36.488999936-05:00,2019-12-27 21:31:28.696000-05:00
kennedy,lawrence_east,2019-12-27 21:27:38.493000192-05:00,2019-12-27 21:34:18.208000-05:00
kennedy,lawrence_east,2019-12-27 21:37:38.318500096-05:00,2019-12-27 21:46:24.400999936-05:00
kennedy,lawrence_east,2019-12-27 21:40:45.945999872-05:00,2019-12-27 21:47:30.935000064-05:00
kennedy,lawrence_east,2019-12-27 21:46:05.597000192-05:00,2019-12-27 21:52:44.206000128-05:00
kennedy,lawrence_east,2019-12-27 21:51:16.670000128-05:00,2019-12-27 21:59:16.136000-05:00
kennedy,lawrence_east,2019-12-27 21:52:13.452999936-05:00,2019-12-27 22:02:51.872999936-05:00
