o_node,d_node,origin,destination,travel_time,date,period,trial
1021-0-4-5,1519-0-99-99,1021,1519,62.0,2019-11-28,EM,0
1495-0-4-5,1529-0-99-99,1495,1529,70.0,2019-11-28,EM,0
1428-0-4-5,1530-0-99-99,1428,1530,96.0,2019-11-28,EM,0
1443-0-4-5,1530-0-99-99,1443,1530,84.0,2019-11-28,EM,0
1577-0-4-5,1536-0-99-99,1577,1536,91.0,2019-11-28,EM,0
1569-0-4-5,1543-0-99-99,1569,1543,100.0,2019-11-28,EM,0
1182-0-4-5,1544-0-99-99,1182,1544,95.0,2019-11-28,EM,0
1021-0-4-5,1545-0-99-99,1021,1545,61.0,2019-11-28,EM,0
1515-0-4-5,1561-0-99-99,1515,1561,53.0,2019-11-28,EM,0
1245-0-4-5,1582-0-99-99,1245,1582,69.0,2019-11-28,EM,0
1154-0-4-5,1599-0-99-99,1154,1599,101.0,2019-11-28,EM,0
1562-0-4-5,1607-0-99-99,1562,1607,56.0,2019-11-28,EM,0
1436-0-4-5,1081-0-99-99,1436,1081,101.0,2019-11-28,EM,0
1506-0-4-11,1002-0-99-99,1506,1002,80.0,2019-11-28,EM,1
1126-0-4-11,1006-0-99-99,1126,1006,95.0,2019-11-28,EM,1
1243-0-4-11,1021-0-99-99,1243,1021,75.0,2019-11-28,EM,1
1382-0-4-11,1021-0-99-99,1382,1021,91.0,2019-11-28,EM,1
1571-0-4-11,1021-0-99-99,1571,1021,107.0,2019-11-28,EM,1
1232-0-4-11,1022-0-99-99,1232,1022,77.0,2019-11-28,EM,1
1175-0-4-11,1023-0-99-99,1175,1023,65.0,2019-11-28,EM,1
1018-0-4-11,1034-0-99-99,1018,1034,24.0,2019-11-28,EM,1
1518-0-4-11,1034-0-99-99,1518,1034,104.0,2019-11-28,EM,1
1590-0-4-11,1034-0-99-99,1590,1034,95.0,2019-11-28,EM,1
1250-0-4-11,1035-0-99-99,1250,1035,56.0,2019-11-28,EM,1
1214-0-4-11,1036-0-99-99,1214,1036,35.0,2019-11-28,EM,1
1219-0-4-11,1036-0-99-99,1219,1036,74.0,2019-11-28,EM,1
1574-0-4-11,1036-0-99-99,1574,1036,105.0,2019-11-28,EM,1
1591-0-4-11,1036-0-99-99,1591,1036,99.0,2019-11-28,EM,1
1131-0-4-11,1037-0-99-99,1131,1037,72.0,2019-11-28,EM,1
1238-0-4-11,1037-0-99-99,1238,1037,81.0,2019-11-28,EM,1
1285-0-4-11,1037-0-99-99,1285,1037,137.0,2019-11-28,EM,1
1406-0-4-11,1037-0-99-99,1406,1037,96.0,2019-11-28,EM,1
1131-0-4-11,1038-0-99-99,1131,1038,68.0,2019-11-28,EM,1
1389-0-4-11,1038-0-99-99,1389,1038,86.0,2019-11-28,EM,1
1422-0-4-11,1038-0-99-99,1422,1038,68.0,2019-11-28,EM,1
1559-0-4-11,1038-0-99-99,1559,1038,86.0,2019-11-28,EM,1
1076-0-4-11,1042-0-99-99,1076,1042,45.0,2019-11-28,EM,1
1245-0-4-11,1042-0-99-99,1245,1042,64.0,2019-11-28,EM,1
1090-0-4-11,1043-0-99-99,1090,1043,42.0,2019-11-28,EM,1
1427-0-4-11,1043-0-99-99,1427,1043,86.0,2019-11-28,EM,1
1250-0-4-11,1045-0-99-99,1250,1045,39.0,2019-11-28,EM,1
1214-0-4-11,1046-0-99-99,1214,1046,27.0,2019-11-28,EM,1
1411-0-4-11,1046-0-99-99,1411,1046,81.0,2019-11-28,EM,1
1313-0-4-11,1047-0-99-99,1313,1047,52.0,2019-11-28,EM,1
1520-0-4-11,1047-0-99-99,1520,1047,63.0,2019-11-28,EM,1
1574-0-4-11,1049-0-99-99,1574,1049,102.0,2019-11-28,EM,1
1252-0-4-11,1050-0-99-99,1252,1050,62.0,2019-11-28,EM,1
1522-0-4-11,1050-0-99-99,1522,1050,83.0,2019-11-28,EM,1
1280-0-4-11,1051-0-99-99,1280,1051,41.0,2019-11-28,EM,1
1328-0-4-11,1051-0-99-99,1328,1051,69.0,2019-11-28,EM,1
1266-0-4-11,1052-0-99-99,1266,1052,47.0,2019-11-28,EM,1
1447-0-4-11,1052-0-99-99,1447,1052,52.0,2019-11-28,EM,1
1464-0-4-11,1052-0-99-99,1464,1052,87.0,2019-11-28,EM,1
1495-0-4-11,1052-0-99-99,1495,1052,90.0,2019-11-28,EM,1
1538-0-4-11,1052-0-99-99,1538,1052,70.0,2019-11-28,EM,1
1591-0-4-11,1055-0-99-99,1591,1055,102.0,2019-11-28,EM,1
1425-0-4-11,1056-0-99-99,1425,1056,90.0,2019-11-28,EM,1
1444-0-4-11,1056-0-99-99,1444,1056,55.0,2019-11-28,EM,1
1619-0-4-11,1056-0-99-99,1619,1056,99.0,2019-11-28,EM,1
1200-0-4-11,1057-0-99-99,1200,1057,37.0,2019-11-28,EM,1
1277-0-4-11,1057-0-99-99,1277,1057,50.0,2019-11-28,EM,1
1539-0-4-11,1057-0-99-99,1539,1057,71.0,2019-11-28,EM,1
1601-0-4-11,1057-0-99-99,1601,1057,102.0,2019-11-28,EM,1
1122-0-4-11,1058-0-99-99,1122,1058,77.0,2019-11-28,EM,1
1270-0-4-11,1058-0-99-99,1270,1058,41.0,2019-11-28,EM,1
1450-0-4-11,1058-0-99-99,1450,1058,57.0,2019-11-28,EM,1
1411-0-4-11,1059-0-99-99,1411,1059,94.0,2019-11-28,EM,1
1090-0-4-11,1060-0-99-99,1090,1060,32.0,2019-11-28,EM,1
1484-0-4-11,1062-0-99-99,1484,1062,82.0,2019-11-28,EM,1
1544-0-4-11,1063-0-99-99,1544,1063,76.0,2019-11-28,EM,1
1621-0-4-11,1063-0-99-99,1621,1063,114.0,2019-11-28,EM,1
1110-0-4-11,1065-0-99-99,1110,1065,31.0,2019-11-28,EM,1
1122-0-4-11,1065-0-99-99,1122,1065,69.0,2019-11-28,EM,1
1202-0-4-11,1065-0-99-99,1202,1065,43.0,2019-11-28,EM,1
1424-0-4-11,1065-0-99-99,1424,1065,49.0,2019-11-28,EM,1
1572-0-4-11,1065-0-99-99,1572,1065,128.0,2019-11-28,EM,1
1122-0-4-11,1066-0-99-99,1122,1066,68.0,2019-11-28,EM,1
1263-0-4-11,1067-0-99-99,1263,1067,63.0,2019-11-28,EM,1
1120-0-4-11,1068-0-99-99,1120,1068,66.0,2019-11-28,EM,1
1330-0-4-11,1068-0-99-99,1330,1068,84.0,2019-11-28,EM,1
